company_1,company_2,similarity_score,contact_person,email,industry,revenue,date_of_birth,address_1,address_2
Meta Platforms,Meta Platform Inc,84,Lisa Chen,lisa.c@meta.com,Social Media,116.6,1991-09-25,1 Hacker Way Menlo Park CA 94025,One Hacker Way Menlo Park CA 94025
SoFi Technologies,Affirm Technologies,83,James Wilson,j.wilson2@sofi.com,Fintech,1.3,1989-01-30,234 1st Street San Francisco CA 94105,650 California Street San Francisco CA 94108
State Street Corp.,State Street Corporation,83,Karen Martinez,k.martinez@statestreet.com,Financial Services,12.0,1991-03-03,1 Lincoln Street Boston MA 02111,One Lincoln St Boston MA 02111
Adobe Corporation,Cadence Corporation,83,Michael Chang,m.chang@adobe.com,Software,2.9,1988-07-07,345 Park Avenue San Jose CA 95110,2655 Seely Ave San Jose CA 95134
Lam Research,Lam Research Corp,83,Emily Davis,e.davis@lamresearch.com,Semiconductors,14.6,1992-02-25,4650 Cushing Parkway Fremont CA 94538,4650 Cushing Pkwy Fremont CA 94538
Goldman Sachs,Goldman Sachs Group,81,Thomas Chen,t.chen@gs.com,Banking,59.3,1989-07-02,200 West Street New York NY 10282,200 West St New York NY 10282
Microsoft Corporation,SoFi Corporation,81,Sarah Johnson,sarah.j@microsoft.com,Fintech,1.0,1990-07-22,1 Microsoft Way Redmond WA 98052,234 First St San Francisco CA 94105
Snap Inc.,Snapchat Inc,80,Emily Wilson,e.wilson@snap.com,Social Media,4.1,1992-05-13,2772 Donald Douglas Loop Santa Monica CA 90405,2772 Donald Douglas Loop N Santa Monica CA 90405
T. Rowe Price,T Rowe Price Group,80,Michael Chen,m.chen3@troweprice.com,Asset Management,7.7,1988-07-20,100 East Pratt Street Baltimore MD 21202,100 E Pratt St Baltimore MD 21202
Uber Technologies,Unity Technologies,80,Daniel Kim,d.kim@uber.com,Software,1.1,1987-11-11,1455 Market St San Francisco CA 94103,30 Third Street San Francisco CA 94103
Twitter Corp.,Twitter Corporation,77,Rachel Green,r.green@twitter.com,Social Media,5.1,1991-03-28,1355 Market St San Francisco CA 94103,1355 Market Street San Francisco CA 94103
Palantir Tech,Palantir Technologies,76,Richard Kim,r.kim@palantir.com,Software,1.5,1983-04-11,1555 Blake Street Denver CO 80202,1555 Blake St Denver CO 80202
NVIDIA Corp,Nvidia Corporation,76,Amanda Chen,a.chen@nvidia.com,Semiconductors,26.9,1990-12-08,2788 San Tomas Expressway Santa Clara CA 95051,2788 San Tomas Expy Santa Clara CA 95051
AMD Inc.,Adobe Inc,75,Michelle Garcia,m.garcia@amd.com,Software,15.8,1985-10-26,2485 Augustine Drive Santa Clara CA 95054,345 Park Ave San Jose CA 95110
